Time (min),Temperature (C),Storage Modulus (MPa),Loss Modulus (MPa),Stress (MPa),Tan Delta,Frequency (Hz),Drive Force (N),Amplitude (µm),Strain (%),Displacement (µm),Static Force (N),Position (mm),Length (mm),Force (N),Stiffness (N/m),GCA Pressure (kPa gauge),,,,
514.845,95.00897,289.3516,56.42649,0.1847824,0.1950101,63,0.4818756,25.00255,0.06386082,13298.28,2.04E-06,13.29828,0,0.4925294,19699.17,0.06895,,,,
515.1606,95.005,293.71,46.00878,0.1875491,0.156647,79.5,1.022878,25.00034,0.06385521,13298.3,1.97E-06,13.2983,0,0.4999039,19995.88,0.06895,,,,
515.356,95.00116,299.5657,58.27834,0.1912906,0.1945428,100,1.889558,25.00066,0.063856,13298.33,1.75E-06,13.29833,0,0.509877,20394.55,0.06895,,,,
527.062,99.98957,140.0737,31.07354,0.08944441,0.221837,1,0.2423115,25.00036,0.06385524,13306.75,8.76E-07,13.30675,0,0.2384102,9536.272,0.06895,,,,
528.2076,100.0038,145.4248,32.54092,0.09284926,0.2237646,1.3,0.2514098,24.99711,0.06384693,13306.86,1.46E-07,13.30686,0,0.2474858,9900.575,0.06895,,,,
529.4097,100.0032,149.9519,33.58228,0.09574097,0.2239537,1.6,0.2589886,24.99745,0.0638478,13306.95,2.85E-06,13.30695,0,0.2551934,10208.78,0.06895,,,,
529.7867,99.99412,154.9172,34.60582,0.09894886,0.2233826,2,0.2672356,25.00696,0.0638721,13306.96,2.63E-06,13.30696,0,0.263744,10546.82,0.06895,,,,
530.0303,99.99274,160.0378,35.572,0.1021944,0.2222725,2.5,0.275351,25.0008,0.06385637,13306.98,2.63E-06,13.30698,0,0.2723947,10895.44,0.06895,,,,
531.0324,99.99152,165.944,36.49556,0.1059395,0.219927,3.2,0.2843076,24.9946,0.06384051,13307.02,2.34E-06,13.30702,0,0.2823772,11297.53,0.06895,,,,
531.4094,99.99301,176.7522,37.83481,0.11284,0.2140556,5,0.2988982,24.99469,0.06384075,13307.03,2.19E-06,13.30703,0,0.30077,12033.36,0.06895,,,,
532.3863,99.99255,182.5397,38.38367,0.11653,0.2102757,6.3,0.3050021,24.99368,0.06383818,13307.05,2.04E-06,13.30705,0,0.3106058,12427.37,0.06895,,,,
533.9278,100.0022,188.4258,38.9072,0.1202992,0.2064856,7.9,0.3093684,24.99608,0.0638443,13307,2.41E-06,13.30701,0,0.3206522,12828.1,0.06895,,,,
534.344,99.99907,194.4083,39.33528,0.1241405,0.2023334,10,0.3103113,25.00048,0.06385554,13307,2.41E-06,13.307,0,0.3308911,13235.39,0.06895,,,,
535.0356,100.0002,200.3776,39.76422,0.1279256,0.1984464,12.6,0.3060417,24.99528,0.06384228,13307,2.41E-06,13.30701,0,0.3409802,13641.78,0.06895,,,,
535.8269,100.0046,206.2729,40.18764,0.1317012,0.1948275,15.8,0.2940879,24.99754,0.06384802,13306.99,2.41E-06,13.30698,0,0.351044,14043.14,0.06895,,,,
536.1186,100.0035,211.0615,40.41938,0.1347887,0.1915052,19,0.275509,25.00312,0.0638623,13306.96,2.63E-06,13.30696,0,0.3592736,14369.15,0.06895,,,,
536.3106,100.0044,217.4166,41.25981,0.1389043,0.189773,25,0.2242644,25.0134,0.06388856,13306.98,2.63E-06,13.30698,0,0.3702435,14801.81,0.06895,,,,
537.0041,99.99984,224.7898,43.93453,0.1436251,0.1954472,31.6,0.1541327,25.01517,0.06389307,13306.94,2.85E-06,13.30694,0,0.3828266,15303.78,0.06895,,,,
537.968,99.99699,231.7456,43.27004,0.1477793,0.1867135,39.8,0.07754426,24.96616,0.06376791,13306.89,3.28E-06,13.30689,0,0.3938994,15777.33,0.06895,,,,
538.2805,99.99796,236.0044,42.97088,0.1506762,0.1820766,50,0.2247112,24.99621,0.06384465,13306.9,3.28E-06,13.3069,0,0.4016209,16067.27,0.06895,,,,
538.471,99.99892,245.175,49.59978,0.1565493,0.2023035,63,0.5512212,24.99911,0.06385206,13306.91,3.14E-06,13.30691,0,0.4172754,16691.61,0.06895,,,,
538.7865,99.99592,248.5013,39.69795,0.1586878,0.1597495,79.5,1.096592,25.00142,0.06385794,13306.95,2.85E-06,13.30695,0,0.4229754,16918.06,0.06895,,,,
538.982,100.0019,253.3727,51.5657,0.1617961,0.2035172,100,1.965278,25.00103,0.06385696,13306.96,2.63E-06,13.30697,0,0.4312606,17249.71,0.06895,,,,
550.7037,104.9775,114.3471,25.37403,0.07302192,0.2219036,1,0.1981011,25.00218,0.0638599,13317.04,2.85E-06,13.31704,0,0.1946368,7784.792,0.06895,,,,
551.8492,104.9994,118.7944,26.85676,0.07584434,0.2260776,1.3,0.2057348,24.99636,0.06384502,13317.15,2.12E-06,13.31715,0,0.2021598,8087.571,0.06895,,,,
553.0512,105.0016,122.5642,27.9374,0.0782482,0.2279411,1.6,0.2121006,24.99543,0.06384265,13317.2,1.53E-06,13.3172,0,0.2085672,8344.214,0.06895,,,,
553.4282,105.0008,126.7827,29.01588,0.08094474,0.228863,2,0.2190794,24.99644,0.06384522,13317.22,1.31E-06,13.31723,0,0.2157547,8631.418,0.06895,,,,
553.6717,105.0004,131.0701,30.01491,0.08368631,0.228999,2.5,0.2259479,24.99773,0.06384854,13317.24,1.09E-06,13.31724,0,0.2230623,8923.301,0.06895,,,,
554.6736,104.9963,136.1462,30.99336,0.08691234,0.2276477,3.2,0.2336282,24.99342,0.06383752,13317.26,1.09E-06,13.31726,0,0.2316611,9268.884,0.06895,,,,
555.0507,104.9975,145.5272,32.40617,0.09290078,0.2226811,5,0.2459685,24.99337,0.0638374,13317.25,1.09E-06,13.31726,0,0.247623,9907.549,0.06895,,,,
556.0276,104.9925,150.5643,33.0215,0.09612086,0.2193182,6.3,0.2509283,24.99455,0.06384041,13317.28,9.49E-07,13.31728,0,0.256206,10250.48,0.06895,,,,
557.5693,104.9982,155.7782,33.55785,0.09944356,0.2154208,7.9,0.2541949,24.99308,0.06383664,13317.27,1.09E-06,13.31727,0,0.2650625,10605.44,0.06895,,,,
557.9856,104.9981,161.0362,33.99468,0.102811,0.2110996,10,0.2539792,24.99574,0.06384343,13317.26,9.49E-07,13.31727,0,0.2740383,10963.4,0.06895,,,,
558.6772,104.9961,166.2562,34.34694,0.1061434,0.2065904,12.6,0.2485904,24.99567,0.06384326,13317.29,8.76E-07,13.31729,0,0.2829206,11318.78,0.06895,,,,
559.4688,104.9964,171.3902,34.72545,0.109435,0.2026105,15.8,0.2354958,24.99884,0.06385137,13317.26,1.02E-06,13.31726,0,0.2916943,11668.31,0.06895,,,,
559.7608,105.0022,175.5385,35.12553,0.111987,0.2001016,19,0.2158827,24.97726,0.06379624,13317.26,1.09E-06,13.31726,0,0.2984964,11950.73,0.06895,,,,
559.9537,104.9979,181.3136,35.82425,0.1154206,0.1975818,25,0.1641262,24.92312,0.06365797,13317.24,1.09E-06,13.31724,0,0.3076485,12343.9,0.06895,,,,
560.6482,105.0003,187.5675,38.03749,0.1195625,0.2027936,31.6,0.09789844,24.9567,0.06374374,13317.24,1.24E-06,13.31724,0,0.3186888,12769.66,0.06895,,,,
561.5242,105.0034,193.601,37.36003,0.1237059,0.1929744,39.8,0.09082056,25.01684,0.06389734,13317.22,1.31E-06,13.31722,0,0.3297326,13180.43,0.06895,,,,
561.8344,104.9936,197.0483,36.93678,0.1258757,0.1874504,50,0.2835723,25.0103,0.06388064,13317.2,1.46E-06,13.3172,0,0.3355163,13415.12,0.06895,,,,
562.0249,104.998,205.273,43.61617,0.1310877,0.2124789,63,0.6152139,25.0023,0.06386019,13317.23,1.31E-06,13.31723,0,0.3494086,13975.06,0.06895,,,,
562.3388,105.0004,207.7198,33.55142,0.1326369,0.1615225,79.5,1.163424,24.99978,0.06385375,13317.25,1.09E-06,13.31725,0,0.353538,14141.64,0.06895,,,,
562.5344,104.9983,211.6476,45.04746,0.135136,0.2128418,100,2.033795,24.99813,0.06384956,13317.27,9.49E-07,13.31727,0,0.3601992,14409.05,0.06895,,,,
574.2703,109.9963,91.49891,20.36613,0.05843076,0.2225833,1,0.1587353,25.00204,0.06385952,13329.85,2.04E-06,13.32985,0,0.1557447,6229.28,0.06895,,,,
575.416,110.0008,95.08231,21.63994,0.06070593,0.2275917,1.3,0.1649037,24.9966,0.06384566,13330,1.02E-06,13.33,0,0.1618091,6473.24,0.06895,,,,
576.618,110.0016,98.17337,22.68233,0.06266541,0.2310436,1.6,0.17013,24.99102,0.06383139,13330.1,7.3E-08,13.33011,0,0.167032,6683.68,0.06895,,,,
576.995,109.9954,101.5813,23.76392,0.06487597,0.23394,2,0.1758886,25.0046,0.06386609,13330.12,3.28E-06,13.33012,0,0.1729241,6915.69,0.06895,,,,
577.2385,109.9973,105.1488,24.7082,0.06714024,0.2349832,2.5,0.1815312,24.99932,0.0638526,13330.15,3.14E-06,13.33015,0,0.1789594,7158.571,0.06895,,,,
578.2405,109.9962,109.4147,25.72999,0.06984584,0.2351603,3.2,0.1879198,24.99278,0.06383589,13330.17,3.07E-06,13.33017,0,0.1861711,7448.994,0.06895,,,,
578.6175,109.9989,117.2586,27.26765,0.07485498,0.232543,5,0.1978494,24.99343,0.06383754,13330.18,2.85E-06,13.33018,0,0.1995227,7983.007,0.06895,,,,
579.5943,109.9992,121.6574,27.8599,0.07766062,0.2290028,6.3,0.2017674,24.99263,0.0638355,13330.18,2.99E-06,13.33018,0,0.207001,8282.484,0.06895,,,,
581.1363,110.0069,126.1802,28.3777,0.08054912,0.2248983,7.9,0.2039502,24.99306,0.06383658,13330.11,2.19E-06,13.33011,0,0.2147002,8590.394,0.06895,,,,
581.5532,110.0121,130.7138,28.75278,0.08349647,0.2199676,10,0.2026759,25.00901,0.06387734,13330.08,1.46E-07,13.33008,0,0.2225562,8899.043,0.06895,,,,
582.2451,110.0064,135.2453,29.19218,0.086344,0.2158462,12.6,0.1961645,24.99539,0.06384254,13330.05,2.19E-07,13.33005,0,0.2301463,9207.55,0.06895,,,,
583.0374,109.9975,139.7907,29.5002,0.08922863,0.2110312,15.8,0.1821563,24.99055,0.06383019,13330.01,7.3E-07,13.33001,0,0.2378351,9517.003,0.06895,,,,
583.3299,109.999,143.3035,29.64512,0.09151547,0.2068695,19,0.1619162,25.00274,0.06386132,13329.98,1.09E-06,13.32998,0,0.2439306,9756.156,0.06895,,,,
583.5055,109.9997,148.1179,29.96832,0.09485053,0.2023275,25,0.1105585,25.0716,0.06403718,13329.97,9.49E-07,13.32998,0,0.25282,10083.92,0.06895,,,,
584.2856,109.9967,153.5405,32.70254,0.09827925,0.2129895,31.6,0.06010752,25.06042,0.06400866,13329.92,1.39E-06,13.32992,0,0.2619591,10453.1,0.06895,,,,
585.2509,109.9986,159.1318,31.9301,0.1016985,0.2006519,39.8,0.1318126,25.02114,0.06390832,13329.87,1.75E-06,13.32987,0,0.271073,10833.76,0.06895,,,,
585.5604,109.994,161.6384,31.37338,0.1031952,0.1940961,50,0.3391267,24.99565,0.06384321,13329.87,1.75E-06,13.32987,0,0.2750623,11004.41,0.06895,,,,
585.7509,109.9909,169.4756,37.69976,0.1081924,0.2224494,63,0.6729794,24.9942,0.0638395,13329.9,1.53E-06,13.3299,0,0.2883821,11537.96,0.06895,,,,
586.0297,109.9951,170.6128,27.8541,0.1089465,0.1632592,79.5,1.224654,25.00066,0.063856,13329.93,1.39E-06,13.32993,0,0.2903921,11615.38,0.06895,,,,
586.2251,109.9883,173.505,38.53643,0.1107941,0.2221056,100,2.097178,25.00082,0.0638564,13329.95,1.31E-06,13.32995,0,0.2953168,11812.29,0.06895,,,,
597.957,114.9854,70.56835,15.85101,0.04506075,0.2246192,1,0.1226039,24.9999,0.06385407,13348.41,8.03E-07,13.34841,0,0.1201075,4804.32,0.06895,,,,
599.1026,114.9783,73.44872,17.03282,0.0468837,0.2319008,1.3,0.1275886,24.99122,0.0638319,13348.63,2.7E-06,13.34863,0,0.1249665,5000.416,0.06895,,,,
600.3047,114.9948,75.93476,17.95966,0.04846711,0.2365144,1.6,0.13182,24.98942,0.0638273,13348.75,1.75E-06,13.34876,0,0.129187,5169.668,0.06895,,,,
600.6816,114.9857,78.65946,18.88575,0.0502493,0.2400951,2,0.136436,25.01087,0.06388209,13348.78,1.17E-06,13.34878,0,0.1339374,5355.166,0.06895,,,,
600.9254,114.9858,81.50747,19.7686,0.05204648,0.2425373,2.5,0.1408724,25.0002,0.06385484,13348.8,1.09E-06,13.3488,0,0.1387276,5549.06,0.06895,,,,
601.9273,114.9971,84.9597,20.71119,0.05422374,0.2437766,3.2,0.1458953,24.9877,0.0638229,13348.83,8.76E-07,13.34883,0,0.1445311,5784.089,0.06895,,,,
602.3043,114.9982,91.37898,22.09611,0.05836178,0.2418074,5,0.1535774,25.0053,0.06386783,13348.83,9.49E-07,13.34883,0,0.1555608,6221.116,0.06895,,,,
603.2813,114.9938,95.02106,22.71949,0.060652,0.2390996,6.3,0.1562135,24.9905,0.06383007,13348.83,8.76E-07,13.34883,0,0.1616653,6469.07,0.06895,,,,
604.4834,114.9958,98.73657,23.2236,0.0630206,0.2352077,7.9,0.157095,24.98931,0.06382702,13348.78,1.24E-06,13.34878,0,0.1679787,6722.024,0.06895,,,,
604.9007,114.9854,102.4728,23.60614,0.06541916,0.2303649,10,0.1544779,24.9946,0.06384051,13348.77,1.53E-06,13.34877,0,0.174372,6976.388,0.06895,,,,
605.5932,115.003,106.2207,23.9588,0.06782229,0.2255568,12.6,0.1468814,24.99846,0.06385038,13348.75,1.68E-06,13.34874,0,0.1807774,7231.544,0.06895,,,,
606.3863,115.0003,109.9938,24.24826,0.07023212,0.2204511,15.8,0.1318554,24.99869,0.06385098,13348.72,1.97E-06,13.34872,0,0.1872007,7488.424,0.06895,,,,
606.6801,114.9956,112.9436,24.47239,0.07210944,0.216678,19,0.1111205,24.99656,0.06384555,13348.71,1.97E-06,13.34871,0,0.1922046,7689.242,0.06895,,,,
606.8949,115.0011,116.8859,24.82564,0.07473972,0.212392,25,0.06267075,25.0345,0.06394246,13348.69,2.19E-06,13.34869,0,0.1992155,7957.639,0.06895,,,,
607.5007,115.0086,121.7123,27.43993,0.0776589,0.2254492,31.6,0.06254925,24.98081,0.06380531,13348.63,2.41E-06,13.34863,0,0.2069965,8286.22,0.06895,,,,
608.3801,114.9996,126.2334,26.50074,0.08063165,0.2099345,39.8,0.180026,25.00812,0.06387505,13348.6,2.7E-06,13.3486,0,0.2149202,8594.019,0.06895,,,,
608.6709,114.9951,128.1776,25.97322,0.08190136,0.2026346,50,0.3933784,25.01662,0.06389678,13348.6,2.7E-06,13.3486,0,0.2183046,8726.382,0.06895,,,,
608.8613,115.0015,135.0997,32.33033,0.08629139,0.2393072,63,0.7296582,25.00706,0.06387237,13348.63,2.41E-06,13.34863,0,0.230006,9197.64,0.06895,,,,
609.1401,114.9996,135.3509,22.10491,0.08642059,0.1633156,79.5,1.283088,24.99803,0.06384928,13348.65,2.26E-06,13.34865,0,0.2303503,9214.741,0,,,,
609.3357,114.9985,136.8548,32.80666,0.08736056,0.2397187,100,2.157467,24.99224,0.0638345,13348.67,2.19E-06,13.34867,0,0.2328558,9317.128,0.06895,,,,
621.107,119.9808,48.14618,11.6506,0.03074006,0.2419838,1,0.08406101,24.99728,0.06384737,13389.9,2.12E-06,13.38989,0,0.08193632,3277.81,0.06895,,,,
622.2527,119.9918,50.23894,12.55871,0.03206842,0.2499796,1.3,0.08769028,24.99118,0.0638318,13390.31,2.63E-06,13.39031,0,0.08547699,3420.286,0.06895,,,,
623.4546,119.9996,52.13907,13.27535,0.03326915,0.2546142,1.6,0.09087157,24.98206,0.0638085,13390.49,9.49E-07,13.39049,0,0.08867751,3549.648,0.06895,,,,
623.8316,119.9958,54.16186,14.01239,0.034587,0.2587133,2,0.09423639,25.00168,0.0638586,13390.52,6.57E-07,13.39052,0,0.09219018,3687.36,0.06895,,,,
624.0753,119.996,56.31489,14.65387,0.03596653,0.260213,2.5,0.09752446,25.00489,0.06386682,13390.51,5.84E-07,13.39051,0,0.09586724,3833.939,0.06895,,,,
625.0774,119.9984,59.00888,15.39924,0.03764628,0.2609648,3.2,0.1012107,24.97781,0.06379766,13390.47,8.76E-07,13.39047,0,0.1003445,4017.347,0.06895,,,,
625.4729,119.994,63.86196,16.47804,0.04077346,0.2580259,5,0.1062192,24.99684,0.06384624,13390.44,1.09E-06,13.39044,0,0.1086799,4347.747,0.06895,,,,
626.6186,119.9954,66.7568,16.97107,0.04258778,0.2542224,6.3,0.107616,24.97694,0.06379544,13390.27,2.26E-06,13.39027,0,0.1135159,4544.828,0.06895,,,,
628.1626,119.9957,69.80097,17.41916,0.04453506,0.2495548,7.9,0.1074422,24.97988,0.06380293,13390.01,8.76E-07,13.39001,0,0.1187063,4752.076,0.06895,,,,
628.5818,119.9954,72.64749,17.73916,0.04640797,0.2441813,10,0.1035245,25.01046,0.06388105,13389.96,1.61E-06,13.38996,0,0.1236984,4945.869,0.06895,,,,
629.1914,119.9948,75.62774,18.03091,0.0482695,0.2384166,12.6,0.09471679,24.98858,0.06382514,13389.81,2.48E-06,13.38981,0,0.1286603,5148.765,0.06895,,,,
629.9872,119.9995,78.59901,18.26768,0.05014162,0.2324161,15.8,0.07882742,24.97647,0.06379422,13389.65,2.92E-07,13.38965,0,0.1336504,5351.05,0.06895,,,,
630.2863,120.0044,80.91656,18.38855,0.05160508,0.2272533,19,0.05848426,24.9692,0.06377568,13389.59,9.49E-07,13.38959,0,0.1375511,5508.83,0.06895,,,,
630.5009,120.0002,83.85222,18.74751,0.05330174,0.2235779,25,0.03541964,24.88722,0.06356628,13389.54,1.24E-06,13.38954,0,0.1420735,5708.691,0.06895,,,,
631.285,120.0062,87.80359,21.32562,0.05611126,0.2428787,31.6,0.1033478,25.02002,0.06390545,13389.38,2.41E-06,13.38939,0,0.1495622,5977.701,0.06895,,,,
632.164,120.0054,91.53224,20.36024,0.05845684,0.222438,39.8,0.2346796,25.00408,0.06386475,13389.23,1.46E-07,13.38923,0,0.1558142,6231.55,0.06895,,,,
632.4545,119.9964,92.51814,19.74517,0.05908325,0.2134194,50,0.4515469,25.00272,0.06386127,13389.21,3.65E-07,13.38921,0,0.1574839,6298.67,0.06895,,,,
632.645,119.9917,98.59242,25.96477,0.06298019,0.2633546,63,0.7900191,25.0098,0.06387934,13389.23,2.92E-07,13.38923,0,0.167871,6712.21,0.06895,,,,
632.9238,119.9936,98.0108,15.92726,0.06258666,0.1625052,79.5,1.345615,25.00101,0.0638569,13389.25,1.46E-07,13.38925,0,0.166822,6672.612,0.06895,,,,
633.1193,119.9932,98.33644,25.9292,0.06278404,0.2636785,100,2.22232,24.99681,0.06384618,13389.26,1.46E-07,13.38926,0,0.1673482,6694.782,0.06895,,,,
644.8801,124.977,18.72596,5.922609,0.01196019,0.316278,1,0.03339158,25.00597,0.06386957,13566.61,1.17E-06,13.56661,0,0.03187937,1274.87,0.06895,,,,
646.0258,124.9936,19.42383,6.182649,0.0124346,0.3183022,1.3,0.0345825,25.06379,0.06401724,13572.03,2.56E-06,13.57203,0,0.03314389,1322.382,0.06895,,,,
647.3965,124.997,20.07575,6.387316,0.01283075,0.3181608,1.6,0.03549202,25.02246,0.06391169,13575.7,1.75E-06,13.5757,0,0.03419981,1366.765,0.06895,,,,
647.8796,124.9959,20.98958,6.663718,0.0134085,0.3174774,2,0.03677184,25.01072,0.06388171,13576.38,5.11E-07,13.57638,0,0.0357398,1428.979,0.06895,,,,
648.2961,124.9897,21.99686,6.910712,0.01404933,0.3141682,2.5,0.03800964,25.00603,0.06386972,13576.74,5.84E-07,13.57674,0,0.03744789,1497.554,0.06895,,,,
650.0053,124.9966,23.29054,7.192859,0.01485272,0.3088318,3.2,0.03927328,24.96755,0.06377144,13576.33,1.02E-06,13.57633,0,0.03958928,1585.629,0.06895,,,,
650.4898,125.0016,25.55125,7.6352,0.01631774,0.298819,5,0.03982144,25.00331,0.0638628,13575.76,1.31E-06,13.57577,0,0.04349424,1739.539,0.06895,,,,
652.1768,124.989,27.14858,7.897705,0.01729527,0.2909067,6.3,0.03907,24.94192,0.06370599,13574.1,1.02E-06,13.5741,0,0.04609981,1848.286,0.06895,,,,
654.0863,125.0009,28.91033,8.172708,0.01841101,0.2826916,7.9,0.03687548,24.93299,0.06368316,13571.67,1.53E-06,13.57167,0,0.04907377,1968.226,0.06895,,,,
654.6021,124.9986,30.35499,8.35745,0.0193504,0.2753237,10,0.0310231,24.95799,0.06374702,13571,8.04E-07,13.571,0,0.05157766,2066.579,0.06895,,,,
655.5806,124.9949,32.01621,8.579972,0.02037785,0.2679883,12.6,0.02198172,24.91944,0.06364856,13570.11,1.31E-06,13.57012,0,0.05431629,2179.676,0.06895,,,,
656.7403,124.9994,33.76272,8.806542,0.02153473,0.2608363,15.8,0.01667987,24.97191,0.06378259,13568.76,1.46E-06,13.56876,0,0.0573999,2298.578,0.06895,,,,
657.0363,124.9981,34.89683,8.919735,0.02231238,0.255603,19,0.033696,25.03282,0.06393814,13568.32,1.39E-06,13.56832,0,0.0594727,2375.79,0.06895,,,,
657.2835,125.0032,36.14648,9.2551,0.02306625,0.2560442,25,0.09340161,24.98392,0.06381328,13567.7,2.56E-06,13.5677,0,0.0614821,2460.866,0.06895,,,,
658.152,125.0024,38.72866,11.9027,0.02474614,0.3073358,31.6,0.1801366,25.01639,0.06389619,13566.4,2.41E-06,13.56641,0,0.06595976,2636.662,0.06895,,,,
659.0313,124.994,41.249,11.09012,0.02634336,0.2688579,39.8,0.3171814,25.00388,0.06386422,13565,1.39E-06,13.565,0,0.07021708,2808.248,0.06895,,,,
659.3224,124.9934,40.88598,10.6896,0.02611402,0.2614489,50,0.5375373,25.00627,0.06387034,13564.69,2.48E-06,13.56469,0,0.06960579,2783.534,0.06895,,,,
659.5128,124.9908,45.53714,16.89445,0.02907636,0.3710038,63,0.8781826,24.99908,0.06385198,13564.56,3.21E-06,13.56456,0,0.0775018,3100.186,0.06895,,,,
659.8282,124.996,43.82488,6.925319,0.02798351,0.1580226,79.5,1.436682,24.99949,0.06385303,13564.28,1.97E-06,13.56428,0,0.07458884,2983.614,0.06895,,,,
660.0237,124.9951,42.45738,17.21535,0.02710867,0.4054738,100,2.316477,24.99797,0.06384914,13564.06,4.38E-07,13.56407,0,0.07225699,2890.514,0.06895,,,,
